Namespace(ignore_case=False, order=4, ref='./scores_regless/w01/gen.out.ref', sacrebleu=False, sentence_bleu=True, sys='./scores_regless/w01/gen.out.sys')
216 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
217 BLEU4 = 42.73, 66.7/50.0/40.0/25.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
218 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
219 BLEU4 = 23.39, 40.0/20.0/25.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
220 BLEU4 = 30.79, 60.0/40.0/25.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
221 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
222 BLEU4 = 25.41, 50.0/16.7/20.0/25.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
223 BLEU4 = 49.49, 60.0/60.0/50.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
224 BLEU4 = 81.87, 100.0/100.0/100.0/100.0 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
225 BLEU4 = 77.88, 100.0/100.0/100.0/100.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
